filiere,type_ecole,ville,moyenne,stages,niveau_francais,niveau_anglais,niveau_programmation,niveau_algorithme,projets,certifications,participation_hackathon,open_source_contributions,soft_skills,linkedin_profile,recrute,salaire_estime_dh
Réseaux & Télécoms,ENSA,Tanger,10.51,2,7,8,10,3,6,1,1,0,7,1,1,11000
Data Science,FST,Agadir,12.85,4,4,8,6,3,4,1,0,0,4,1,0,0
GINF,Privée (EMSI/IGA),Tanger,14.81,0,10,6,7,4,0,3,0,0,7,1,0,0
GI,ENSA,Rabat,14.45,0,7,9,10,8,4,2,1,1,9,0,1,12100
Cybersécurité,ENSA,Fès,13.24,1,8,4,8,10,7,1,0,1,7,1,1,10200
Développement Web,OFPPT,Agadir,13.43,4,4,9,4,3,4,1,1,0,8,1,0,0
Développement Web,FST,Marrakech,11.81,3,6,4,10,5,4,1,0,0,4,0,0,0
GI,Privée (EMSI/IGA),Rabat,13.65,0,9,3,9,6,5,0,0,0,6,1,0,0
Cybersécurité,ENSA,Kenitra,17.63,3,5,9,9,9,5,0,0,1,6,1,1,11800
GI,Faculté (FS),Marrakech,16.8,3,10,8,7,6,2,0,1,0,9,1,1,9100
GINF,ENSA,Fès,11.16,2,4,6,3,3,5,0,0,0,8,0,0,0
Data Science,ENSA,Tanger,10.24,2,10,6,4,8,4,0,1,0,10,1,0,0
Développement Web,Faculté (FS),Kenitra,17.47,0,4,10,8,4,1,3,0,0,6,0,0,0
GINF,Faculté (FS),Marrakech,14.21,3,4,4,10,7,7,1,0,0,6,1,1,8700
Data Science,OFPPT,Rabat,14.3,2,7,9,5,8,6,3,1,0,9,1,1,10000
GINF,EST,Kenitra,16.25,4,8,7,4,3,5,1,0,0,9,1,1,9300
Cybersécurité,FST,Kenitra,12.52,4,9,7,9,3,2,0,0,0,8,1,0,0
Développement Web,FST,Agadir,13.86,4,5,8,7,7,6,0,0,0,5,1,1,10600
GI,Privée (EMSI/IGA),Casablanca,17.75,4,10,4,7,6,2,2,0,1,8,0,1,13600
GI,EST,Marrakech,15.38,3,5,8,6,8,3,2,0,1,8,1,0,0
Data Science,EST,Casablanca,11.23,4,8,5,10,6,4,3,0,1,4,1,1,11200
Réseaux & Télécoms,EST,Fès,11.07,3,7,6,8,9,7,1,1,0,6,0,1,8600
Cybersécurité,Faculté (FS),Marrakech,11.63,0,7,9,5,7,6,3,0,0,10,1,1,9000
Data Science,EST,Marrakech,16.13,0,8,9,8,4,1,2,1,0,6,0,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Agadir,12.36,4,10,8,4,9,1,1,0,0,5,1,0,0
GINF,EST,Tanger,10.17,4,8,3,5,3,3,3,0,0,10,1,0,0
Cybersécurité,OFPPT,Rabat,17.55,4,6,9,8,5,1,2,0,0,8,1,1,10600
GINF,ENSA,Rabat,11.36,0,7,7,6,6,6,0,0,1,7,1,0,0
Développement Web,Faculté (FS),Rabat,10.08,2,10,8,5,6,2,3,0,0,5,1,0,0
Cybersécurité,Privée (EMSI/IGA),Fès,11.9,0,4,5,5,8,0,0,0,1,5,1,0,0
Réseaux & Télécoms,ENSA,Kenitra,11.88,4,5,6,4,9,2,3,0,0,6,1,0,0
Développement Web,Privée (EMSI/IGA),Tanger,13.38,2,7,10,5,9,5,1,0,0,6,0,1,11900
GI,FST,Casablanca,17.36,2,8,9,6,6,0,1,0,0,6,0,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Rabat,17.03,1,4,10,10,10,1,1,1,0,6,1,1,12400
Data Science,Faculté (FS),Casablanca,13.66,3,6,5,3,4,7,1,1,1,5,0,0,0
GI,EST,Tanger,13.29,4,9,10,3,7,4,2,1,0,9,0,1,10300
GI,ENSA,Fès,14.44,3,6,8,7,4,6,0,0,0,8,1,1,11100
Data Science,EST,Tanger,11.95,1,4,6,3,6,0,2,1,0,9,0,0,0
Cybersécurité,ENSA,Agadir,10.42,3,10,6,4,8,2,3,1,1,9,1,1,12400
GI,ENSA,Kenitra,17.51,4,10,4,7,3,2,3,0,0,6,1,0,0
Réseaux & Télécoms,ENSA,Rabat,11.49,1,4,4,3,6,5,0,1,1,4,1,0,0
Développement Web,FST,Fès,11.59,3,10,10,3,3,2,0,0,0,5,1,0,0
GI,OFPPT,Agadir,13.78,0,8,3,7,8,6,2,0,1,10,0,0,0
Réseaux & Télécoms,ENSA,Rabat,13.93,2,10,3,4,3,6,1,0,0,10,1,1,11000
GINF,ENSA,Tanger,10.15,1,9,9,7,6,5,2,0,0,7,0,1,11100
Réseaux & Télécoms,Faculté (FS),Tanger,11.18,0,8,10,9,6,2,2,0,0,7,1,1,8800
Développement Web,ENSA,Marrakech,13.03,4,5,5,10,3,3,3,1,0,8,1,0,0
Réseaux & Télécoms,ENSA,Marrakech,15.47,2,10,4,9,4,1,2,0,1,5,1,0,0
Data Science,ENSA,Tanger,11.83,1,9,6,4,4,7,0,0,0,5,0,0,0
Développement Web,Privée (EMSI/IGA),Tanger,13.38,2,9,4,4,8,4,1,0,0,5,1,0,0
Cybersécurité,OFPPT,Casablanca,14.46,1,5,10,8,4,5,3,0,0,9,1,1,9700
GINF,EST,Kenitra,17.11,1,6,6,6,9,3,0,1,1,4,1,0,0
Data Science,Faculté (FS),Casablanca,12.61,3,4,4,3,5,1,3,0,0,10,1,0,0
Cybersécurité,FST,Kenitra,11.07,2,6,6,8,3,6,2,0,0,10,0,0,0
Réseaux & Télécoms,Faculté (FS),Agadir,13.91,2,10,10,3,5,5,2,1,0,4,1,0,0
Développement Web,Faculté (FS),Marrakech,15.97,0,10,5,8,5,0,0,0,1,9,0,0,0
GINF,Faculté (FS),Marrakech,10.88,4,8,4,10,9,3,0,1,0,6,1,1,8800
Data Science,EST,Tanger,13.4,0,7,7,5,3,5,3,0,0,9,0,0,0
Cybersécurité,ENSA,Tanger,10.14,3,10,7,9,5,6,1,0,0,7,1,1,11300
Cybersécurité,FST,Agadir,10.27,1,10,6,10,8,3,3,1,1,10,1,1,10400
GINF,OFPPT,Fès,13.86,3,8,5,7,8,3,2,0,0,9,1,1,8300
Réseaux & Télécoms,Faculté (FS),Fès,12.39,3,7,6,8,3,3,0,0,0,4,0,0,0
GINF,OFPPT,Fès,16.76,0,4,5,9,7,0,0,1,0,7,1,0,0
Cybersécurité,Privée (EMSI/IGA),Marrakech,14.82,1,4,10,6,7,2,3,0,0,9,0,0,0
GI,ENSA,Casablanca,13.63,4,9,3,3,10,6,0,0,0,5,1,0,0
Data Science,Faculté (FS),Fès,13.26,3,4,4,5,9,3,0,1,0,4,1,0,0
GINF,Faculté (FS),Rabat,13.98,4,5,5,6,3,1,2,0,0,7,1,1,10800
Cybersécurité,Privée (EMSI/IGA),Agadir,10.32,1,5,10,4,3,7,1,0,0,4,1,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Fès,17.14,1,7,6,10,3,2,0,0,0,5,1,0,0
Cybersécurité,Faculté (FS),Rabat,17.99,0,6,9,3,4,0,0,0,0,5,1,0,0
Réseaux & Télécoms,ENSA,Fès,11.45,2,9,9,9,3,4,3,1,1,5,1,1,12500
GINF,OFPPT,Casablanca,10.96,0,6,3,8,8,7,1,0,0,6,1,0,0
Réseaux & Télécoms,ENSA,Casablanca,11.15,4,7,9,7,8,0,2,0,0,9,0,1,13600
Développement Web,OFPPT,Fès,15.29,0,5,6,6,6,4,0,1,1,7,1,0,0
Développement Web,Privée (EMSI/IGA),Rabat,15.29,1,8,7,9,7,1,1,1,0,10,1,1,11800
Développement Web,EST,Agadir,16.78,3,10,7,5,10,4,1,0,0,6,1,1,8800
GI,Faculté (FS),Rabat,16.01,2,9,4,7,7,5,3,0,0,10,1,1,10000
GINF,FST,Agadir,13.6,1,7,8,4,9,3,2,1,0,8,1,0,0
Cybersécurité,FST,Fès,14.9,3,6,4,7,3,2,1,0,0,8,1,0,0
Cybersécurité,EST,Agadir,15.51,4,7,9,9,7,6,2,0,0,10,0,1,10100
GI,OFPPT,Tanger,14.1,4,7,3,9,3,5,1,0,0,10,0,1,8000
Réseaux & Télécoms,Privée (EMSI/IGA),Marrakech,13.81,4,4,9,5,3,2,0,0,0,10,1,0,0
GI,Privée (EMSI/IGA),Kenitra,15.16,0,5,7,4,7,3,2,1,1,4,1,0,0
Réseaux & Télécoms,ENSA,Marrakech,14.46,4,9,10,5,7,2,3,1,0,4,0,1,13200
Réseaux & Télécoms,OFPPT,Casablanca,15.15,4,4,5,9,6,0,1,0,1,4,1,1,9900
Data Science,OFPPT,Tanger,14.9,0,5,7,3,9,3,0,1,1,10,1,0,0
Cybersécurité,EST,Marrakech,15.75,3,7,8,5,10,3,1,0,0,6,1,1,9000
Développement Web,ENSA,Fès,15.14,1,5,4,10,5,2,0,0,1,9,1,0,0
Réseaux & Télécoms,EST,Agadir,14.16,2,6,6,7,6,6,2,1,1,5,1,0,0
Data Science,Privée (EMSI/IGA),Agadir,15.45,4,9,9,9,6,5,3,0,0,4,1,1,13500
Cybersécurité,Faculté (FS),Rabat,13.6,4,4,3,3,7,4,0,1,1,4,0,0,0
Développement Web,OFPPT,Rabat,11.93,4,9,8,3,10,6,1,0,0,9,1,1,10000
Réseaux & Télécoms,EST,Agadir,10.01,0,7,7,6,9,6,0,0,1,8,1,0,0
Réseaux & Télécoms,OFPPT,Fès,14.48,0,6,5,7,8,1,0,1,0,10,1,0,0
GI,ENSA,Agadir,14.73,0,5,8,7,9,6,3,0,0,5,1,0,0
GI,EST,Rabat,17.78,2,10,10,4,6,4,2,0,0,6,1,0,0
Cybersécurité,Faculté (FS),Marrakech,12.89,1,5,10,5,8,0,0,0,0,9,0,0,0
Développement Web,ENSA,Casablanca,13.15,4,6,5,8,7,3,0,1,0,5,1,1,12000
Réseaux & Télécoms,OFPPT,Rabat,11.61,3,10,5,5,4,3,1,0,0,8,1,0,0
Cybersécurité,ENSA,Fès,10.56,4,5,3,7,3,0,1,1,1,6,1,0,0
Cybersécurité,Faculté (FS),Marrakech,16.18,4,4,10,5,5,1,2,0,0,10,1,0,0
GINF,FST,Marrakech,12.0,4,8,5,7,8,3,2,0,0,7,1,1,10800
GI,Faculté (FS),Marrakech,14.87,4,5,5,9,4,4,2,1,0,10,1,1,9800
Développement Web,ENSA,Tanger,15.5,1,7,10,3,8,0,1,0,0,10,0,0,0
Réseaux & Télécoms,ENSA,Tanger,13.77,3,5,7,5,3,3,0,0,0,4,1,0,0
Cybersécurité,Privée (EMSI/IGA),Kenitra,17.01,0,9,3,9,3,4,2,1,0,6,1,0,0
Réseaux & Télécoms,EST,Marrakech,13.55,3,7,10,5,9,0,1,0,0,8,1,0,0
GINF,OFPPT,Fès,12.28,4,5,10,7,5,0,1,0,0,5,1,0,0
Développement Web,Privée (EMSI/IGA),Agadir,17.17,3,5,6,9,6,0,2,1,1,6,1,0,0
Cybersécurité,ENSA,Fès,16.89,4,7,10,7,3,7,1,1,0,8,0,1,12400
Réseaux & Télécoms,EST,Tanger,11.31,3,4,6,4,5,1,0,0,0,9,0,0,0
GI,Faculté (FS),Rabat,10.21,2,10,5,5,8,0,3,0,0,10,0,1,10200
GINF,Privée (EMSI/IGA),Kenitra,10.72,3,10,8,6,8,6,1,1,0,6,1,1,12000
Développement Web,Privée (EMSI/IGA),Tanger,12.29,0,8,10,10,8,5,1,0,0,4,1,1,10900
GINF,FST,Agadir,17.78,0,8,4,7,9,2,3,0,1,9,1,0,0
GI,OFPPT,Casablanca,14.47,3,10,3,6,8,2,0,0,0,5,0,1,8100
Développement Web,ENSA,Kenitra,12.99,3,4,9,3,8,0,2,0,0,9,0,0,0
GINF,Privée (EMSI/IGA),Tanger,17.11,1,5,4,3,7,3,1,1,0,5,1,0,0
Data Science,Privée (EMSI/IGA),Fès,13.63,3,8,3,10,3,6,0,0,0,6,1,0,0
GI,ENSA,Kenitra,12.52,0,4,3,6,9,6,2,0,0,9,1,0,0
GI,EST,Fès,17.53,2,4,7,8,3,2,0,1,0,8,1,0,0
GI,ENSA,Marrakech,16.8,0,8,10,3,6,4,3,1,0,4,1,0,0
Data Science,EST,Marrakech,16.75,1,10,5,6,9,4,1,0,0,10,1,1,7400
Data Science,OFPPT,Marrakech,14.1,3,7,7,4,10,3,0,0,0,4,1,1,7900
Réseaux & Télécoms,EST,Kenitra,16.32,2,6,10,4,6,4,2,1,1,6,1,0,0
Cybersécurité,ENSA,Casablanca,11.43,0,10,8,3,9,5,2,1,1,7,1,1,11900
GINF,EST,Agadir,14.59,2,7,9,9,7,3,2,0,0,9,0,1,9100
Réseaux & Télécoms,Privée (EMSI/IGA),Kenitra,17.87,4,10,4,6,3,4,3,0,0,6,1,0,0
GINF,Faculté (FS),Rabat,12.33,0,5,4,6,9,0,0,0,0,9,1,0,0
Cybersécurité,FST,Fès,16.35,4,7,6,10,6,6,0,0,0,4,1,1,10200
Data Science,ENSA,Fès,13.92,2,9,8,10,9,4,2,0,1,10,1,1,11900
Cybersécurité,Privée (EMSI/IGA),Kenitra,10.32,3,6,9,6,5,6,2,1,1,9,1,1,13100
Data Science,OFPPT,Kenitra,16.1,3,10,8,10,8,0,2,0,0,10,1,1,8900
Cybersécurité,EST,Agadir,11.35,3,6,10,8,8,4,3,0,0,5,1,0,0
Réseaux & Télécoms,ENSA,Casablanca,15.05,4,4,7,3,10,4,3,0,0,6,1,1,13600
Développement Web,ENSA,Kenitra,10.69,3,9,10,8,3,4,1,0,0,10,1,1,11900
Réseaux & Télécoms,ENSA,Marrakech,17.57,1,5,7,6,8,0,1,0,0,10,1,0,0
GINF,Faculté (FS),Agadir,12.33,0,4,8,7,8,7,1,0,1,6,0,1,8500
Réseaux & Télécoms,Privée (EMSI/IGA),Rabat,11.81,0,7,7,6,10,4,2,0,0,5,0,0,0
GI,FST,Marrakech,11.03,2,7,6,7,5,4,3,1,0,9,0,0,0
GINF,OFPPT,Rabat,17.57,4,8,10,4,4,6,3,1,0,10,1,1,11200
Cybersécurité,FST,Tanger,15.7,0,4,9,7,7,5,1,0,1,6,1,0,0
GINF,OFPPT,Rabat,15.93,4,9,9,4,6,1,2,1,1,8,1,1,11100
Développement Web,OFPPT,Marrakech,14.0,2,4,7,10,4,7,0,0,1,5,0,1,7900
Data Science,ENSA,Tanger,13.8,3,4,7,3,6,0,2,1,0,5,0,0,0
Cybersécurité,EST,Marrakech,10.88,2,4,9,9,4,5,2,1,0,9,1,1,9100
GINF,Faculté (FS),Fès,14.48,1,6,8,9,8,2,1,0,0,5,0,0,0
Cybersécurité,ENSA,Marrakech,11.98,3,8,9,8,6,6,3,1,0,4,1,1,12500
Cybersécurité,EST,Tanger,17.82,3,10,8,8,7,3,3,0,0,6,1,0,0
Cybersécurité,FST,Rabat,16.37,3,5,7,4,3,6,0,0,1,7,1,0,0
Data Science,Privée (EMSI/IGA),Fès,13.3,2,5,7,4,5,1,3,0,1,6,1,0,0
Réseaux & Télécoms,FST,Casablanca,11.21,1,5,10,6,4,5,3,1,0,6,1,0,0
Cybersécurité,OFPPT,Casablanca,16.28,4,6,10,5,5,5,0,0,0,4,1,0,0
GI,FST,Casablanca,10.98,2,8,8,4,10,4,0,0,0,8,1,1,10600
Développement Web,OFPPT,Casablanca,11.51,0,9,4,7,5,2,1,0,0,10,1,0,0
Data Science,Faculté (FS),Agadir,11.69,0,8,5,3,6,2,1,0,0,8,1,0,0
GINF,OFPPT,Casablanca,14.46,2,6,4,10,3,4,1,1,0,4,0,0,0
Data Science,FST,Tanger,16.3,4,9,7,8,6,5,1,0,1,4,1,1,11300
GINF,Faculté (FS),Kenitra,12.51,0,4,3,7,10,6,3,0,1,4,0,1,8300
Data Science,Faculté (FS),Casablanca,10.68,4,7,3,8,5,5,1,0,0,6,1,0,0
GINF,FST,Marrakech,13.72,3,4,6,3,8,4,2,0,1,4,0,0,0
Cybersécurité,ENSA,Kenitra,15.98,2,5,4,10,9,1,0,0,0,7,1,0,0
Réseaux & Télécoms,ENSA,Casablanca,11.77,3,4,8,7,7,7,1,1,0,10,0,1,12500
GINF,ENSA,Kenitra,11.76,0,6,10,8,3,0,0,0,0,5,1,0,0
GINF,OFPPT,Rabat,17.58,4,5,6,4,3,1,3,0,1,8,0,0,0
GI,ENSA,Tanger,17.63,3,7,6,10,8,0,1,0,0,9,1,1,11100
GINF,ENSA,Tanger,17.92,0,9,3,5,5,2,2,0,0,7,1,0,0
GI,OFPPT,Kenitra,16.46,1,9,4,4,10,3,0,1,0,9,1,1,6300
Développement Web,EST,Fès,11.51,3,5,5,9,6,4,1,0,0,8,0,1,8400
Cybersécurité,FST,Agadir,11.7,1,10,9,8,8,1,2,0,0,10,1,1,10100
GI,ENSA,Marrakech,12.72,1,10,8,6,7,2,3,0,0,6,1,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Kenitra,12.55,0,4,4,7,4,1,2,0,0,6,1,0,0
Cybersécurité,OFPPT,Tanger,17.65,2,10,10,5,6,5,3,0,0,4,1,1,9200
GI,OFPPT,Rabat,16.31,4,8,6,7,3,0,0,0,0,8,1,0,0
Cybersécurité,FST,Casablanca,15.79,0,8,7,6,8,4,1,0,0,6,1,0,0
Cybersécurité,OFPPT,Tanger,11.49,3,9,6,6,10,5,2,0,0,6,1,1,8500
Cybersécurité,ENSA,Rabat,17.28,4,8,4,6,6,0,2,1,1,9,1,1,13100
Développement Web,ENSA,Casablanca,16.62,2,5,3,8,4,5,2,1,0,9,1,0,0
Réseaux & Télécoms,ENSA,Agadir,11.31,0,8,9,4,10,0,3,0,0,8,1,0,0
Data Science,Faculté (FS),Tanger,16.97,2,6,4,8,9,7,0,1,0,6,0,1,7800
Data Science,FST,Tanger,12.18,3,9,5,4,9,0,0,1,0,10,1,1,9500
GI,FST,Kenitra,10.65,0,7,8,5,7,5,1,0,1,4,1,0,0
Cybersécurité,ENSA,Kenitra,15.25,3,8,8,6,9,2,1,1,1,6,0,1,12000
GI,FST,Rabat,15.23,4,6,7,9,9,4,0,0,0,7,1,1,11400
Développement Web,OFPPT,Fès,10.76,4,6,7,4,8,3,0,1,0,7,0,0,0
Développement Web,FST,Kenitra,12.55,2,5,6,3,7,7,0,0,0,4,0,0,0
GINF,OFPPT,Marrakech,17.94,2,9,4,9,4,7,2,0,0,7,1,1,7600
Développement Web,ENSA,Agadir,15.43,4,5,8,3,4,7,3,1,0,9,1,1,12800
GINF,OFPPT,Marrakech,15.84,1,7,3,4,9,1,0,0,0,6,0,0,0
Réseaux & Télécoms,Faculté (FS),Tanger,11.7,4,7,5,9,5,7,1,0,0,7,0,1,9400
GI,ENSA,Marrakech,10.63,0,4,6,9,10,6,3,1,1,7,0,0,0
Réseaux & Télécoms,ENSA,Casablanca,12.22,3,7,4,5,10,0,2,0,0,6,1,0,0
Développement Web,Faculté (FS),Agadir,11.99,4,9,3,7,3,7,3,1,1,8,1,1,10300
Réseaux & Télécoms,OFPPT,Marrakech,11.88,4,10,4,8,5,4,0,0,1,4,0,0,0
Réseaux & Télécoms,FST,Casablanca,11.54,3,10,3,10,6,1,3,0,0,8,1,1,11300
Réseaux & Télécoms,EST,Rabat,14.6,3,9,10,6,4,4,1,0,0,8,1,1,10400
Développement Web,OFPPT,Marrakech,12.62,0,5,9,4,5,5,3,0,0,7,1,0,0
Cybersécurité,Faculté (FS),Agadir,16.56,3,6,4,5,3,1,0,0,0,5,0,0,0
Réseaux & Télécoms,FST,Casablanca,11.47,2,4,4,10,3,4,3,0,0,8,1,0,0
GINF,FST,Marrakech,13.72,4,10,10,9,4,3,3,0,0,10,1,1,12200
Développement Web,ENSA,Rabat,10.11,3,10,9,8,10,6,3,0,1,6,1,1,14000
Réseaux & Télécoms,Faculté (FS),Marrakech,13.85,0,7,8,7,8,4,1,0,0,6,1,0,0
Cybersécurité,EST,Casablanca,10.45,3,6,6,5,10,6,3,0,0,6,0,1,10400
Développement Web,Privée (EMSI/IGA),Marrakech,17.82,4,5,4,7,5,4,3,0,0,5,1,0,0
Data Science,FST,Agadir,16.32,1,8,4,3,7,6,2,0,0,5,1,0,0
Cybersécurité,FST,Tanger,13.92,3,4,6,8,10,0,3,0,0,9,1,0,0
GINF,Faculté (FS),Casablanca,10.69,2,9,6,8,4,6,3,0,0,4,1,1,10400
Réseaux & Télécoms,Privée (EMSI/IGA),Casablanca,14.74,4,6,7,7,9,6,2,0,0,10,1,1,13700
Data Science,OFPPT,Casablanca,16.07,0,5,7,3,6,0,1,0,1,10,1,0,0
Data Science,FST,Casablanca,11.53,4,5,8,10,5,0,1,0,0,5,1,0,0
Développement Web,OFPPT,Marrakech,14.55,1,4,6,6,5,5,2,0,0,4,0,0,0
Data Science,Faculté (FS),Agadir,16.51,0,4,9,4,4,6,2,0,0,9,0,0,0
GINF,FST,Rabat,16.15,1,7,5,9,8,4,3,0,0,6,1,1,10700
GINF,ENSA,Agadir,16.42,1,7,8,3,5,7,1,0,0,10,1,1,10500
GI,FST,Casablanca,17.03,2,9,3,5,5,3,1,0,0,5,1,0,0
GINF,ENSA,Fès,17.5,3,9,10,7,6,1,3,1,0,10,0,0,0
Cybersécurité,Privée (EMSI/IGA),Marrakech,13.24,2,4,6,8,8,7,0,0,0,7,1,1,10700
Data Science,EST,Fès,14.55,2,4,7,5,6,0,3,1,0,9,1,0,0
GINF,Privée (EMSI/IGA),Marrakech,16.33,2,6,10,8,7,2,0,0,0,7,0,1,11500
Développement Web,FST,Casablanca,15.58,0,7,4,3,6,4,3,1,0,7,1,0,0
GI,Faculté (FS),Marrakech,17.96,3,5,6,8,9,3,2,0,1,5,1,1,10000
Data Science,FST,Casablanca,10.11,3,10,6,9,7,3,3,0,0,5,1,1,11900
GI,ENSA,Agadir,12.84,0,10,7,10,6,0,2,0,0,5,1,1,10200
Data Science,EST,Kenitra,12.25,2,10,7,8,7,5,0,0,0,7,1,1,7900
Développement Web,ENSA,Tanger,12.1,2,7,5,9,8,0,0,0,0,6,0,1,10000
GI,Faculté (FS),Marrakech,11.78,1,7,8,8,6,5,2,0,0,8,1,1,8900
Réseaux & Télécoms,FST,Casablanca,15.67,1,4,7,8,6,7,2,0,0,6,0,1,10700
Cybersécurité,OFPPT,Fès,10.68,4,10,7,10,4,2,1,0,0,5,1,1,8800
Cybersécurité,ENSA,Casablanca,15.93,1,4,7,9,6,2,1,0,0,10,1,1,11300
Data Science,ENSA,Fès,15.55,3,7,10,9,7,0,3,1,1,8,1,1,13200
Réseaux & Télécoms,FST,Marrakech,12.01,0,8,8,5,4,1,2,0,1,10,0,0,0
GI,Privée (EMSI/IGA),Rabat,12.02,2,8,4,7,7,7,0,0,0,9,1,0,0
Réseaux & Télécoms,OFPPT,Fès,15.03,4,9,6,4,10,6,1,0,0,8,1,1,8600
Réseaux & Télécoms,FST,Casablanca,16.1,1,7,6,10,6,0,2,0,0,6,1,0,0
GI,FST,Marrakech,17.01,4,10,7,5,6,0,0,0,0,7,1,0,0
Développement Web,ENSA,Casablanca,16.82,0,8,9,6,10,7,0,1,0,4,1,1,10800
Réseaux & Télécoms,Privée (EMSI/IGA),Rabat,17.72,0,9,9,7,7,3,2,0,1,7,0,1,12600
Réseaux & Télécoms,Faculté (FS),Tanger,14.65,4,9,8,7,10,0,3,0,0,7,1,1,10800
Développement Web,EST,Kenitra,17.27,4,7,5,10,8,0,1,1,1,10,1,1,9400
Réseaux & Télécoms,Faculté (FS),Kenitra,16.47,4,9,7,9,8,0,1,1,0,8,1,1,9800
Réseaux & Télécoms,ENSA,Rabat,17.16,2,4,10,6,9,1,2,1,0,5,1,1,12800
Réseaux & Télécoms,Privée (EMSI/IGA),Agadir,10.09,3,4,8,9,8,3,3,1,0,5,1,1,12800
Cybersécurité,ENSA,Marrakech,17.73,1,4,8,9,5,4,0,0,1,8,1,0,0
GINF,Faculté (FS),Rabat,13.79,1,5,10,3,4,7,3,1,0,7,1,0,0
Développement Web,ENSA,Tanger,16.39,1,4,5,6,4,4,1,1,0,6,1,0,0
Réseaux & Télécoms,OFPPT,Casablanca,11.02,4,10,8,3,10,4,2,0,0,9,0,1,10400
Cybersécurité,OFPPT,Marrakech,13.17,4,4,10,4,8,4,1,0,0,10,0,0,0
Développement Web,Faculté (FS),Fès,12.17,4,7,6,3,10,3,2,0,0,4,1,0,0
Data Science,Faculté (FS),Rabat,12.33,2,8,5,9,6,0,3,0,0,7,0,0,0
Data Science,OFPPT,Tanger,10.99,2,10,5,10,4,4,1,0,0,10,0,0,0
Réseaux & Télécoms,ENSA,Rabat,16.45,2,8,3,4,7,7,3,1,0,7,1,0,0
Cybersécurité,EST,Agadir,10.07,2,4,5,4,6,0,1,0,0,4,0,0,0
Cybersécurité,ENSA,Kenitra,12.5,0,4,5,8,4,6,3,1,0,6,1,0,0
Développement Web,Privée (EMSI/IGA),Kenitra,11.4,2,4,10,8,3,6,1,0,0,4,1,0,0
Développement Web,EST,Marrakech,14.71,2,9,4,6,4,4,2,0,0,8,1,0,0
Cybersécurité,OFPPT,Casablanca,12.03,2,7,6,9,8,1,3,1,0,4,1,0,0
Développement Web,Faculté (FS),Tanger,12.07,1,7,7,4,7,7,3,0,0,4,1,0,0
Cybersécurité,ENSA,Rabat,13.91,1,7,10,9,4,0,2,1,0,7,1,0,0
GINF,ENSA,Marrakech,15.22,1,8,3,3,10,3,0,0,0,10,0,0,0
Cybersécurité,EST,Rabat,10.97,3,10,5,5,9,5,1,0,0,7,1,1,9400
Data Science,FST,Marrakech,11.4,0,10,4,8,5,1,1,1,1,5,1,0,0
Développement Web,ENSA,Kenitra,11.98,4,5,4,7,8,7,2,0,0,4,0,1,11600
Cybersécurité,ENSA,Agadir,17.79,2,8,10,7,9,5,1,0,0,8,1,1,11400
Cybersécurité,OFPPT,Rabat,13.18,1,7,8,3,9,1,3,0,0,5,1,0,0
Développement Web,Privée (EMSI/IGA),Agadir,14.79,0,6,7,8,5,3,3,1,0,9,1,0,0
GINF,EST,Fès,11.93,2,5,7,5,6,1,2,1,0,4,0,0,0
GINF,EST,Fès,13.92,3,4,9,10,10,6,3,0,0,7,1,1,10000
Développement Web,ENSA,Kenitra,10.59,4,9,6,9,5,0,0,0,0,8,0,1,11200
GI,Faculté (FS),Tanger,10.28,2,8,9,4,7,2,1,0,1,6,1,0,0
Développement Web,OFPPT,Agadir,13.75,4,9,8,8,3,2,2,1,0,5,0,0,0
Développement Web,ENSA,Marrakech,13.19,2,5,5,3,3,4,2,0,0,7,1,0,0
GINF,ENSA,Tanger,11.1,3,10,4,9,6,6,1,0,0,6,1,1,10700
GINF,OFPPT,Rabat,15.5,0,6,3,4,10,4,0,0,0,4,1,0,0
Développement Web,Faculté (FS),Rabat,17.94,4,5,6,8,6,0,2,1,0,8,1,1,11000
Développement Web,ENSA,Marrakech,13.17,4,8,10,6,10,3,1,0,0,7,0,1,12400
Développement Web,Faculté (FS),Casablanca,15.0,0,7,5,5,5,0,0,0,0,7,0,0,0
GINF,EST,Casablanca,17.7,4,4,8,7,10,4,2,0,0,8,1,1,10900
Développement Web,EST,Rabat,16.65,1,7,7,3,9,1,0,0,0,7,1,0,0
Développement Web,OFPPT,Kenitra,13.71,0,7,8,7,7,5,2,0,0,7,0,0,0
Réseaux & Télécoms,OFPPT,Kenitra,15.9,3,8,5,9,5,6,1,0,1,4,0,1,8400
GI,FST,Marrakech,11.03,2,7,8,4,7,0,1,0,0,5,0,0,0
Data Science,Privée (EMSI/IGA),Casablanca,14.1,2,7,7,4,10,0,1,0,0,6,1,0,0
GI,FST,Agadir,12.23,0,8,5,6,7,3,0,1,0,9,1,0,0
Réseaux & Télécoms,OFPPT,Rabat,11.29,1,8,3,10,3,4,3,0,1,8,1,0,0
Data Science,FST,Fès,13.41,3,6,9,4,9,7,0,0,1,6,1,1,10800
Développement Web,OFPPT,Agadir,11.05,2,7,6,4,7,0,1,1,0,8,1,0,0
